event_type,event_subtype,event_data,event_time
keyboard,press,Key.alt_l,,0.28925323486328125
keyboard,press,Key.tab,,0.06928706169128418
keyboard,release,Key.alt_l,,0.09376120567321777
keyboard,release,Key.tab,,0.014014005661010742
mouse,click,643;352;left;True,1.0522377490997314
mouse,click,643;352;left;False,0.09387683868408203
mouse,click,609;545;left;True,3.918771505355835
mouse,click,609;545;left;False,0.12806367874145508
mouse,click,631;580;left;True,1.4053423404693604
mouse,click,631;580;left;False,0.13101696968078613
mouse,click,665;565;left;True,2.310011386871338
mouse,click,665;565;left;False,0.1159524917602539
mouse,click,603;538;left;True,6.039783000946045
mouse,click,603;538;left;False,0.17336010932922363
mouse,click,636;582;left;True,1.2034571170806885
mouse,click,636;582;left;False,0.10705351829528809
mouse,click,808;639;left;True,13.755529880523682
mouse,click,808;639;left;False,0.08268141746520996
